HOUSE DISTRICT 17 ,"Josephson, Andrew L. ",DEM ,Total ,3168,NA
HOUSE DISTRICT 17 ,Write-in ,NP ,Total ,13,NA
HOUSE DISTRICT 18  ,Number of Precincts for Race ,NP ,Total ,10,NA
HOUSE DISTRICT 18  ,Number of Precincts Reporting ,NP ,Total ,10,NA
HOUSE DISTRICT 18  ,Registered Voters ,NP ,Total ,13991,NA
HOUSE DISTRICT 18  ,Times Counted ,NP ,Total ,5950,NA
HOUSE DISTRICT 18  ,"Lekanoff, Anthony C. ",REP ,Total ,2028,NA
HOUSE DISTRICT 18  ,"Drummond, Harriet A. ",DEM ,Total ,3765,NA
HOUSE DISTRICT 18  ,Write-in ,NP ,Total ,22,NA
HOUSE DISTRICT 19 ,Number of Precincts for Race ,NP ,Total ,6,NA
HOUSE DISTRICT 19 ,Number of Precincts Reporting ,NP ,Total ,6,NA
HOUSE DISTRICT 19 ,Registered Voters ,NP ,Total ,11917,NA
HOUSE DISTRICT 19 ,Times Counted ,NP ,Total ,3954,NA
HOUSE DISTRICT 19 ,"Tarr, Geran ",DEM ,Total ,2527,NA
HOUSE DISTRICT 19 ,"Stevens, Cean ",LIB ,Total ,1208,NA
HOUSE DISTRICT 19 ,Write-in ,NP ,Total ,46,NA
HOUSE DISTRICT 20 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 20 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 20 ,Registered Voters ,NP ,Total ,14069,NA
HOUSE DISTRICT 20 ,Times Counted ,NP ,Total ,5893,NA
HOUSE DISTRICT 20 ,"West, Warren P. ",LIB ,Total ,296,NA
HOUSE DISTRICT 20 ,"Martinson, Ceezar X. ",REP ,Total ,1658,NA
HOUSE DISTRICT 20 ,"Fields, William Z. ",DEM ,Total ,3731,NA
HOUSE DISTRICT 20 ,Write-in ,NP ,Total ,26,NA
HOUSE DISTRICT 21 ,Number of Precincts for Race ,NP ,Total ,8,NA
HOUSE DISTRICT 21 ,Number of Precincts Reporting ,NP ,Total ,8,NA
HOUSE DISTRICT 21 ,Registered Voters ,NP ,Total ,14353,NA
HOUSE DISTRICT 21 ,Times Counted ,NP ,Total ,7564,NA
HOUSE DISTRICT 21 ,"Stewart, Marilyn ",REP ,Total ,3360,NA
HOUSE DISTRICT 21 ,"Claman, Matt ",DEM ,Total ,4056,NA
HOUSE DISTRICT 21 ,Write-in ,NP ,Total ,17,NA
HOUSE DISTRICT 22 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 22 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 22 ,Registered Voters ,NP ,Total ,14714,NA
HOUSE DISTRICT 22 ,Times Counted ,NP ,Total ,7461,NA
HOUSE DISTRICT 22 ,"Grenn, Jason S. ",NA ,Total ,3026,NA
HOUSE DISTRICT 22 ,"Darden, Dustin ",DEM ,Total ,858,NA
HOUSE DISTRICT 22 ,"Rasmussen, Sara ",REP ,Total ,3468,NA
HOUSE DISTRICT 22 ,Write-in ,NP ,Total ,9,NA
HOUSE DISTRICT 23 ,Number of Precincts for Race ,NP ,Total ,8,NA
HOUSE DISTRICT 23 ,Number of Precincts Reporting ,NP ,Total ,8,NA
HOUSE DISTRICT 23 ,Registered Voters ,NP ,Total ,13703,NA
HOUSE DISTRICT 23 ,Times Counted ,NP ,Total ,5699,NA
HOUSE DISTRICT 23 ,"Tuck, Chris ",DEM ,Total ,2971,NA
HOUSE DISTRICT 23 ,"Dougherty, Connie R. ",REP ,Total ,2605,NA
HOUSE DISTRICT 23 ,Write-in ,NP ,Total ,18,NA
HOUSE DISTRICT 24 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 24 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 24 ,Registered Voters ,NP ,Total ,14878,NA
HOUSE DISTRICT 24 ,Times Counted ,NP ,Total ,8344,NA
HOUSE DISTRICT 24 ,"Kopp, Charles M. ",REP ,Total ,4931,NA
HOUSE DISTRICT 24 ,"Levi, Sue ",DEM ,Total ,3222,NA
HOUSE DISTRICT 24 ,Write-in ,NP ,Total ,31,NA
HOUSE DISTRICT 25 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 25 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 25 ,Registered Voters ,NP ,Total ,14661,NA
HOUSE DISTRICT 25 ,Times Counted ,NP ,Total ,7089,NA
HOUSE DISTRICT 25 ,"Higgins, Pat ",DEM ,Total ,3336,NA
HOUSE DISTRICT 25 ,"Revak, Josh C. ",REP ,Total ,3617,NA
HOUSE DISTRICT 25 ,Write-in ,NP ,Total ,15,NA
HOUSE DISTRICT 26 ,Number of Precincts for Race ,NP ,Total ,8,NA
HOUSE DISTRICT 26 ,Number of Precincts Reporting ,NP ,Total ,8,NA
HOUSE DISTRICT 26 ,Registered Voters ,NP ,Total ,15081,NA
HOUSE DISTRICT 26 ,Times Counted ,NP ,Total ,7943,NA
HOUSE DISTRICT 26 ,"Thorne, Anita ",DEM ,Total ,2876,NA
HOUSE DISTRICT 26 ,"Shaw, Laddie ",REP ,Total ,4819,NA
HOUSE DISTRICT 26 ,Write-in ,NP ,Total ,33,NA
HOUSE DISTRICT 27 ,Number of Precincts for Race ,NP ,Total ,8,NA
HOUSE DISTRICT 27 ,Number of Precincts Reporting ,NP ,Total ,8,NA
HOUSE DISTRICT 27 ,Registered Voters ,NP ,Total ,15040,NA
HOUSE DISTRICT 27 ,Times Counted ,NP ,Total ,7661,NA
HOUSE DISTRICT 27 ,"Snyder, Liz ",DEM ,Total ,3679,NA
HOUSE DISTRICT 27 ,"Pruitt, Lance ",REP ,Total ,3864,NA
HOUSE DISTRICT 27 ,Write-in ,NP ,Total ,45,NA
HOUSE DISTRICT 28 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 28 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 28 ,Registered Voters ,NP ,Total ,16277,NA
HOUSE DISTRICT 28 ,Times Counted ,NP ,Total ,10350,NA
HOUSE DISTRICT 28 ,"Lee, Amber M. ",DEM ,Total ,4596,NA
HOUSE DISTRICT 28 ,"Johnston, Jennifer B ",REP ,Total ,5542,NA
HOUSE DISTRICT 28 ,Write-in ,NP ,Total ,24,NA
HOUSE DISTRICT 29 ,Number of Precincts for Race ,NP ,Total ,11,NA
HOUSE DISTRICT 29 ,Number of Precincts Reporting ,NP ,Total ,11,NA
HOUSE DISTRICT 29 ,Registered Voters ,NP ,Total ,15429,NA
HOUSE DISTRICT 29 ,Times Counted ,NP ,Total ,8195,NA
HOUSE DISTRICT 29 ,"Butler, Shawn A. ",DEM ,Total ,2423,NA
HOUSE DISTRICT 29 ,"Carpenter, Benjamin ",REP ,Total ,5440,NA
HOUSE DISTRICT 29 ,Write-in ,NP ,Total ,35,NA
HOUSE DISTRICT 30 ,Number of Precincts for Race ,NP ,Total ,6,NA
HOUSE DISTRICT 30 ,Number of Precincts Reporting ,NP ,Total ,6,NA
HOUSE DISTRICT 30 ,Registered Voters ,NP ,Total ,15925,NA
HOUSE DISTRICT 30 ,Times Counted ,NP ,Total ,7735,NA
HOUSE DISTRICT 30 ,"Knopp, Gary A. ",REP ,Total ,6184,NA
HOUSE DISTRICT 30 ,Write-in ,NP ,Total ,407,NA
HOUSE DISTRICT 31 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 31 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 31 ,Registered Voters ,NP ,Total ,16962,NA
HOUSE DISTRICT 31 ,Times Counted ,NP ,Total ,9605,NA
HOUSE DISTRICT 31 ,"Seaton, Paul ",DEM ,Total ,4205,NA
HOUSE DISTRICT 31 ,"Vance, Sarah L. ",REP ,Total ,5185,NA
HOUSE DISTRICT 31 ,Write-in ,NP ,Total ,91,NA
HOUSE DISTRICT 32 ,Number of Precincts for Race ,NP ,Total ,14,NA
HOUSE DISTRICT 32 ,Number of Precincts Reporting ,NP ,Total ,14,NA
HOUSE DISTRICT 32 ,Registered Voters ,NP ,Total ,13565,NA
HOUSE DISTRICT 32 ,Times Counted ,NP ,Total ,5530,NA
HOUSE DISTRICT 32 ,Katelnikoff-Lester ,NA ,Total ,688,NA
HOUSE DISTRICT 32 ,"Stutes, Louise ",REP ,Total ,2871,NA
HOUSE DISTRICT 32 ,"Harris, Dennis P. ",DEM ,Total ,1816,NA
HOUSE DISTRICT 32 ,Write-in ,NP ,Total ,38,NA
HOUSE DISTRICT 33 ,Number of Precincts for Race ,NP ,Total ,11,NA
HOUSE DISTRICT 33 ,Number of Precincts Reporting ,NP ,Total ,11,NA
HOUSE DISTRICT 33 ,Registered Voters ,NP ,Total ,15936,NA
HOUSE DISTRICT 33 ,Times Counted ,NP ,Total ,9068,NA
HOUSE DISTRICT 33 ,"Hannan, Sara ",DEM ,Total ,4949,NA
HOUSE DISTRICT 33 ,"Dimond, Chris ",NA ,Total ,3781,NA
HOUSE DISTRICT 33 ,Write-in ,NP ,Total ,44,NA
HOUSE DISTRICT 34 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 34 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 34 ,Registered Voters ,NP ,Total ,15507,NA
HOUSE DISTRICT 34 ,Times Counted ,NP ,Total ,8873,NA
HOUSE DISTRICT 34 ,"Nankervis, Jerry A. ",REP ,Total ,4109,NA
HOUSE DISTRICT 34 ,"Story, Andrea ",DEM ,Total ,4649,NA
HOUSE DISTRICT 34 ,Write-in ,NP ,Total ,13,NA
HOUSE DISTRICT 35 ,Number of Precincts for Race ,NP ,Total ,14,NA
