Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1001030,GENERAL ELECTION 2018,11,Calhoun,1000930,AL-03,3,Write-In,35,NON
1001030,GENERAL ELECTION 2018,11,Calhoun,1001000,GOVERNOR,1,Walt Maddox,12450,DEM
1001030,GENERAL ELECTION 2018,11,Calhoun,1001000,GOVERNOR,2,Kay Ivey,24399,REP
1001030,GENERAL ELECTION 2018,11,Calhoun,1001000,GOVERNOR,3,Write-In,92,NON
1001030,GENERAL ELECTION 2018,12,Chambers,1000930,AL-03,1,Mallory Hagan,4768,DEM
1001030,GENERAL ELECTION 2018,12,Chambers,1000930,AL-03,2,Mike Rogers,6507,REP
1001030,GENERAL ELECTION 2018,12,Chambers,1000930,AL-03,3,Write-In,8,NON
1001030,GENERAL ELECTION 2018,12,Chambers,1001000,GOVERNOR,1,Walt Maddox,4616,DEM
1001030,GENERAL ELECTION 2018,12,Chambers,1001000,GOVERNOR,2,Kay Ivey,6670,REP
1001030,GENERAL ELECTION 2018,12,Chambers,1001000,GOVERNOR,3,Write-In,20,NON
1001030,GENERAL ELECTION 2018,13,Cherokee,1000930,AL-03,1,Mallory Hagan,1276,DEM
1001030,GENERAL ELECTION 2018,13,Cherokee,1000930,AL-03,2,Mike Rogers,6576,REP
1001030,GENERAL ELECTION 2018,13,Cherokee,1000930,AL-03,3,Write-In,7,NON
1001030,GENERAL ELECTION 2018,13,Cherokee,1000940,AL-04,1,Lee Auman,86,DEM
1001030,GENERAL ELECTION 2018,13,Cherokee,1000940,AL-04,2,Robert Aderholt,513,REP
1001030,GENERAL ELECTION 2018,13,Cherokee,1000940,AL-04,3,Write-In,0,NON
1001030,GENERAL ELECTION 2018,13,Cherokee,1001000,GOVERNOR,1,Walt Maddox,1549,DEM
1001030,GENERAL ELECTION 2018,13,Cherokee,1001000,GOVERNOR,2,Kay Ivey,6972,REP
1001030,GENERAL ELECTION 2018,13,Cherokee,1001000,GOVERNOR,3,Write-In,15,NON
1001030,GENERAL ELECTION 2018,14,Chilton,1000960,AL-06,1,Danner Kline,2191,DEM
1001030,GENERAL ELECTION 2018,14,Chilton,1000960,AL-06,2,Gary Palmer,11490,REP
1001030,GENERAL ELECTION 2018,14,Chilton,1000960,AL-06,3,Write-In,4,NON
1001030,GENERAL ELECTION 2018,14,Chilton,1001000,GOVERNOR,1,Walt Maddox,2494,DEM
1001030,GENERAL ELECTION 2018,14,Chilton,1001000,GOVERNOR,2,Kay Ivey,11283,REP
1001030,GENERAL ELECTION 2018,14,Chilton,1001000,GOVERNOR,3,Write-In,10,NON
1001030,GENERAL ELECTION 2018,15,Choctaw,1000970,AL-07,1,Terri A. Sewell,3517,DEM
1001030,GENERAL ELECTION 2018,15,Choctaw,1000970,AL-07,2,Write-In,134,NON
1001030,GENERAL ELECTION 2018,15,Choctaw,1001000,GOVERNOR,1,Walt Maddox,2648,DEM
1001030,GENERAL ELECTION 2018,15,Choctaw,1001000,GOVERNOR,2,Kay Ivey,3470,REP
1001030,GENERAL ELECTION 2018,15,Choctaw,1001000,GOVERNOR,3,Write-In,7,NON
1001030,GENERAL ELECTION 2018,16,Clarke,1000910,AL-01,1,"Robert Kennedy, Jr.",1216,DEM
1001030,GENERAL ELECTION 2018,16,Clarke,1000910,AL-01,2,Bradley Byrne,2631,REP
1001030,GENERAL ELECTION 2018,16,Clarke,1000910,AL-01,3,Write-In,3,NON
1001030,GENERAL ELECTION 2018,16,Clarke,1000970,AL-07,1,Terri A. Sewell,4014,DEM
1001030,GENERAL ELECTION 2018,16,Clarke,1000970,AL-07,2,Write-In,103,NON
1001030,GENERAL ELECTION 2018,16,Clarke,1001000,GOVERNOR,1,Walt Maddox,4865,DEM
1001030,GENERAL ELECTION 2018,16,Clarke,1001000,GOVERNOR,2,Kay Ivey,6313,REP
1001030,GENERAL ELECTION 2018,16,Clarke,1001000,GOVERNOR,3,Write-In,7,NON
1001030,GENERAL ELECTION 2018,17,Clay,1000930,AL-03,1,Mallory Hagan,1045,DEM
1001030,GENERAL ELECTION 2018,17,Clay,1000930,AL-03,2,Mike Rogers,4321,REP
1001030,GENERAL ELECTION 2018,17,Clay,1000930,AL-03,3,Write-In,0,NON
1001030,GENERAL ELECTION 2018,17,Clay,1001000,GOVERNOR,1,Walt Maddox,1236,DEM
1001030,GENERAL ELECTION 2018,17,Clay,1001000,GOVERNOR,2,Kay Ivey,4153,REP
1001030,GENERAL ELECTION 2018,17,Clay,1001000,GOVERNOR,3,Write-In,9,NON
1001030,GENERAL ELECTION 2018,18,Cleburne,1000930,AL-03,1,Mallory Hagan,462,DEM
1001030,GENERAL ELECTION 2018,18,Cleburne,1000930,AL-03,2,Mike Rogers,3950,REP
1001030,GENERAL ELECTION 2018,18,Cleburne,1000930,AL-03,3,Write-In,3,NON
1001030,GENERAL ELECTION 2018,18,Cleburne,1001000,GOVERNOR,1,Walt Maddox,508,DEM
1001030,GENERAL ELECTION 2018,18,Cleburne,1001000,GOVERNOR,2,Kay Ivey,3902,REP
1001030,GENERAL ELECTION 2018,18,Cleburne,1001000,GOVERNOR,3,Write-In,14,NON
1001030,GENERAL ELECTION 2018,19,Coffee,1000920,AL-02,1,Tabitha Isner,4113,DEM
1001030,GENERAL ELECTION 2018,19,Coffee,1000920,AL-02,2,Martha Roby,11703,REP
1001030,GENERAL ELECTION 2018,19,Coffee,1000920,AL-02,3,Write-In,30,NON
1001030,GENERAL ELECTION 2018,19,Coffee,1001000,GOVERNOR,1,Walt Maddox,3755,DEM
1001030,GENERAL ELECTION 2018,19,Coffee,1001000,GOVERNOR,2,Kay Ivey,12064,REP
1001030,GENERAL ELECTION 2018,19,Coffee,1001000,GOVERNOR,3,Write-In,73,NON
1001030,GENERAL ELECTION 2018,20,Colbert,1000940,AL-04,1,Lee Auman,6897,DEM
1001030,GENERAL ELECTION 2018,20,Colbert,1000940,AL-04,2,Robert Aderholt,13659,REP
1001030,GENERAL ELECTION 2018,20,Colbert,1000940,AL-04,3,Write-In,11,NON
1001030,GENERAL ELECTION 2018,20,Colbert,1001000,GOVERNOR,1,Walt Maddox,7675,DEM
1001030,GENERAL ELECTION 2018,20,Colbert,1001000,GOVERNOR,2,Kay Ivey,13145,REP
1001030,GENERAL ELECTION 2018,20,Colbert,1001000,GOVERNOR,3,Write-In,34,NON
1001030,GENERAL ELECTION 2018,21,Conecuh,1000920,AL-02,1,Tabitha Isner,2460,DEM
1001030,GENERAL ELECTION 2018,21,Conecuh,1000920,AL-02,2,Martha Roby,2391,REP
1001030,GENERAL ELECTION 2018,21,Conecuh,1000920,AL-02,3,Write-In,1,NON
1001030,GENERAL ELECTION 2018,21,Conecuh,1001000,GOVERNOR,1,Walt Maddox,2441,DEM
1001030,GENERAL ELECTION 2018,21,Conecuh,1001000,GOVERNOR,2,Kay Ivey,2473,REP
1001030,GENERAL ELECTION 2018,21,Conecuh,1001000,GOVERNOR,3,Write-In,7,NON
1001030,GENERAL ELECTION 2018,22,Coosa,1000960,AL-06,1,Danner Kline,1438,DEM
1001030,GENERAL ELECTION 2018,22,Coosa,1000960,AL-06,2,Gary Palmer,2810,REP
1001030,GENERAL ELECTION 2018,22,Coosa,1001000,GOVERNOR,1,Walt Maddox,1521,DEM
